"Sub_community","Plant_species","Sample_type","MeJA_treatment","sample","ASV","abundance","Domain","Phylum","Class","Order","Family","Genus","Species"
"at_soil","Arabidopsis_thaliana","Soil","control","28_Soil","ASV_29",52,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","29_Soil","ASV_29",29,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","30_Soil","ASV_29",31,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","33_Soil","ASV_29",48,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","37_Soil","ASV_29",18,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","38_Soil","ASV_29",15,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","39_Soil","ASV_29",30,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","4_Soil","ASV_29",65,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","41_Soil","ASV_29",40,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","43_Soil","ASV_29",42,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","45_Soil","ASV_29",59,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","48_Soil","ASV_29",38,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","7_Soil","ASV_29",36,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","8_Soil","ASV_29",27,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","9_Soil","ASV_29",33,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Bradyrhizobium","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","11_Soil","ASV_191",10,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","14_Soil","ASV_191",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","15_Soil","ASV_191",3,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","17_Soil","ASV_191",6,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","19_Soil","ASV_191",6,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","2_Soil","ASV_191",14,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","20_Soil","ASV_191",21,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","21_Soil","ASV_191",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","27_Soil","ASV_191",16,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","28_Soil","ASV_191",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","29_Soil","ASV_191",8,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","30_Soil","ASV_191",2,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","33_Soil","ASV_191",42,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","37_Soil","ASV_191",69,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","38_Soil","ASV_191",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","39_Soil","ASV_191",29,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","4_Soil","ASV_191",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","41_Soil","ASV_191",8,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","43_Soil","ASV_191",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","45_Soil","ASV_191",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","48_Soil","ASV_191",19,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","7_Soil","ASV_191",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","8_Soil","ASV_191",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","9_Soil","ASV_191",4,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Massilia","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","11_Soil","ASV_192",11,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","14_Soil","ASV_192",17,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","15_Soil","ASV_192",9,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","17_Soil","ASV_192",12,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","19_Soil","ASV_192",20,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","2_Soil","ASV_192",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","20_Soil","ASV_192",7,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","21_Soil","ASV_192",10,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","27_Soil","ASV_192",16,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","28_Soil","ASV_192",9,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","29_Soil","ASV_192",15,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","30_Soil","ASV_192",23,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","33_Soil","ASV_192",7,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","37_Soil","ASV_192",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","38_Soil","ASV_192",16,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","39_Soil","ASV_192",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","4_Soil","ASV_192",7,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","41_Soil","ASV_192",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","43_Soil","ASV_192",14,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","45_Soil","ASV_192",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","48_Soil","ASV_192",0,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","7_Soil","ASV_192",26,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","8_Soil","ASV_192",33,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","9_Soil","ASV_192",22,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Rubrivivax","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","11_Soil","ASV_407",14,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","14_Soil","ASV_407",9,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","15_Soil","ASV_407",3,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","17_Soil","ASV_407",12,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","19_Soil","ASV_407",9,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","2_Soil","ASV_407",7,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","20_Soil","ASV_407",0,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","21_Soil","ASV_407",5,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","27_Soil","ASV_407",12,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","28_Soil","ASV_407",6,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","29_Soil","ASV_407",14,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","30_Soil","ASV_407",22,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","33_Soil","ASV_407",5,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","37_Soil","ASV_407",3,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","38_Soil","ASV_407",21,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","39_Soil","ASV_407",0,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","4_Soil","ASV_407",7,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","41_Soil","ASV_407",0,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","43_Soil","ASV_407",9,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","45_Soil","ASV_407",7,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","48_Soil","ASV_407",3,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","7_Soil","ASV_407",16,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","8_Soil","ASV_407",15,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","oral_secretion","9_Soil","ASV_407",26,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_1.0","11_Soil","ASV_473",0,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__uncultured","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","14_Soil","ASV_473",32,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__uncultured","s__"
"at_soil","Arabidopsis_thaliana","Soil","control","15_Soil","ASV_473",8,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__uncultured","s__"
"at_soil","Arabidopsis_thaliana","Soil","MeJA_0.1","17_Soil","ASV_473",6,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__uncultured","s__"
